Continent,Region,iso3
Asia,South Asia,AFG
Europe,South East Europe,ALB
Africa,Northern Africa,DZA
Oceania,Pacific,ASM
Europe,South West Europe,AND
Africa,Southern Africa,AGO
Americas,West Indies,AIA
Americas,West Indies,ATG
Americas,South America,ARG
Asia,South West Asia,ARM
Americas,West Indies,ABW
Oceania,Pacific,AUS
Europe,Central Europe,AUT
Asia,South West Asia,AZE
Americas,West Indies,BHS
Asia,South West Asia,BHR
Asia,South Asia,BGD
Americas,West Indies,BRB
Europe,Eastern Europe,BLR
Europe,Western Europe,BEL
Americas,Central America,BLZ
Africa,Western Africa,BEN
Americas,West Indies,BMU
Asia,South Asia,BTN
Americas,South America,BOL
Europe,South East Europe,BIH
Africa,Southern Africa,BWA
Americas,South America,BRA
Americas,West Indies,VGB
Asia,South East Asia,BRN
Europe,South East Europe,BGR
Africa,Western Africa,BFA
Africa,Central Africa,BDI
Asia,South East Asia,KHM
Africa,Western Africa,CMR
Americas,North America,CAN
Africa,Western Africa,CPV
Americas,West Indies,CYM
Africa,Central Africa,CAF
Africa,Central Africa,TCD
Americas,South America,CHL
Asia,East Asia,CHN
Asia,South East Asia,CXR
Asia,South East Asia,CCK
Americas,South America,COL
Africa,Indian Ocean,COM
Africa,Central Africa,COG
Oceania,Pacific,COK
Americas,Central America,CRI
Africa,Western Africa,CIV
Europe,South East Europe,HRV
Americas,West Indies,CUB
Asia,South West Asia,CYP
Europe,Central Europe,CZE
Europe,Northern Europe,DNK
Africa,Eastern Africa,DJI
Americas,West Indies,DMA
Americas,West Indies,DOM
Americas,South America,ECU
Africa,Northern Africa,EGY
Americas,Central America,SLV
Africa,Western Africa,GNQ
Africa,Eastern Africa,ERI
Europe,Eastern Europe,EST
Africa,Eastern Africa,ETH
Americas,South America,FLK
Europe,Northern Europe,FRO
Oceania,Pacific,FJI
Europe,Northern Europe,FIN
Europe,Western Europe,FRA
Americas,South America,GUF
Oceania,Pacific,PYF
Africa,Western Africa,GAB
Africa,Western Africa,GMB
Asia,South West Asia,GEO
Europe,Western Europe,DEU
Africa,Western Africa,GHA
Europe,South West Europe,GIB
Europe,South East Europe,GRC
Americas,North America,GRL
Americas,West Indies,GRD
Americas,West Indies,GLP
Oceania,Pacific,GUM
Americas,Central America,GTM
Europe,Western Europe,--
Africa,Western Africa,GIN
Africa,Western Africa,GNB
Americas,South America,GUY
Americas,West Indies,HTI
Europe,Southern Europe,VAT
Americas,Central America,HND
Europe,Central Europe,HUN
Europe,Northern Europe,ISL
Asia,South Asia,IND
Asia,South East Asia,IDN
Asia,South West Asia,IRN
Asia,South West Asia,IRQ
Europe,Western Europe,IRL
Asia,South West Asia,ISR
Europe,Southern Europe,ITA
Americas,West Indies,JAM
Europe,Northern Europe,--
Asia,East Asia,JPN
Europe,Western Europe,--
Asia,South West Asia,JOR
Asia,Central Asia,KAZ
Africa,Eastern Africa,KEN
Oceania,Pacific,KIR
Asia,East Asia,PRK
Asia,East Asia,KOR
Asia,South West Asia,KWT
Asia,Central Asia,KGZ
Asia,South East Asia,LAO
Europe,Eastern Europe,LVA
Asia,South West Asia,LBN
Africa,Southern Africa,LSO
Africa,Western Africa,LBR
Africa,Northern Africa,LBY
Europe,Central Europe,LIE
Europe,Eastern Europe,LTU
Europe,Western Europe,LUX
Europe,South East Europe,MKD
Africa,Indian Ocean,MDG
Africa,Southern Africa,MWI
Asia,South East Asia,MYS
Asia,South Asia,MDV
Africa,Western Africa,MLI
Europe,Southern Europe,MLT
Europe,Western Europe,--
Oceania,Pacific,MHL
Americas,West Indies,MTQ
Africa,Western Africa,MRT
Africa,Indian Ocean,MUS
Africa,Indian Ocean,MYT
Americas,Central America,MEX
Oceania,Pacific,FSM
Europe,Eastern Europe,MDA
Europe,Western Europe,MCO
Asia,Northern Asia,MNG
Americas,West Indies,MSR
Africa,Northern Africa,MAR
Africa,Southern Africa,MOZ
Asia,South East Asia,MMR
Africa,Southern Africa,NAM
Oceania,Pacific,NRU
Asia,South Asia,NPL
Europe,Western Europe,NLD
Americas,West Indies,ANT
Oceania,Pacific,NCL
Oceania,Pacific,NZL
Americas,Central America,NIC
Africa,Western Africa,NER
Africa,Western Africa,NGA
Oceania,Pacific,NIU
Oceania,Pacific,NFK
Oceania,Pacific,MNP
Europe,Northern Europe,NOR
Asia,South West Asia,OMN
Asia,South Asia,PAK
Oceania,Pacific,PLW
Asia,South West Asia,--
Americas,Central America,PAN
Oceania,Pacific,PNG
Americas,South America,PRY
Americas,South America,PER
Asia,South East Asia,PHL
Oceania,Pacific,PCN
Europe,Eastern Europe,POL
Europe,South West Europe,PRT
Americas,West Indies,PRI
Asia,South West Asia,QAT
Africa,Indian Ocean,REU
Europe,South East Europe,ROM
Asia,Northern Asia,RUS
Africa,Central Africa,RWA
Americas,West Indies,KNA
Americas,West Indies,LCA
Americas,North America,SPM
Americas,West Indies,VCT
Europe,Southern Europe,SMR
Africa,Western Africa,STP
Asia,South West Asia,SAU
Africa,Western Africa,SEN
Europe,South East Europe,--
Africa,Indian Ocean,SYC
Africa,Western Africa,SLE
Asia,South East Asia,SGP
Europe,Central Europe,SVK
Europe,South East Europe,SVN
Oceania,Pacific,SLB
Africa,Eastern Africa,SOM
Africa,Southern Africa,ZAF
Europe,South West Europe,ESP
Asia,South Asia,LKA
Africa,Northern Africa,SDN
Americas,South America,SUR
Europe,Northern Europe,SJM
Africa,Southern Africa,SWZ
Europe,Northern Europe,SWE
Europe,Central Europe,CHE
Asia,South West Asia,SYR
Asia,East Asia,TWN
Asia,Central Asia,TJK
Africa,Eastern Africa,TZA
Asia,South East Asia,THA
Africa,Western Africa,TGO
Oceania,Pacific,TKL
Oceania,Pacific,TON
Americas,West Indies,TTO
Africa,Northern Africa,TUN
Asia,South West Asia,TUR
Asia,Central Asia,TKM
Americas,West Indies,TCA
Oceania,Pacific,TUV
Africa,Eastern Africa,UGA
Europe,Eastern Europe,UKR
Asia,South West Asia,ARE
Europe,Western Europe,GBR
Americas,North America,USA
Americas,South America,URY
Asia,Central Asia,UZB
Oceania,Pacific,VUT
Americas,South America,VEN
Asia,South East Asia,VNM
Americas,West Indies,VIR
Oceania,Pacific,WLF
Africa,Northern Africa,ESH
Oceania,Pacific,WSM
Asia,South West Asia,YEM
Africa,Central Africa,ZAR
Africa,Southern Africa,ZWB
Africa,Southern Africa,ZWE
Africa,Central Africa,COD
Asia,East Asia,HKG
Europe,South East Europe,XKX
Africa,Central Africa,SSD
Asia,South East Asia,TLS
Europe,South East Europe,ROU
Europe,South East Europe,SRB
Asia,South West Asia,YMD
Africa,Eastern Africa,ZZB
Africa,Southern Africa,ZMB
Asia,South West Asia,PSE
Europe,South East Europe,MNE
Asia,South East Asia,VDR
Asia,South West Asia,PSG
Asia,South West Asia,PSB
Africa,Eastern Africa,SML
